timestamp,sensor_id,intersection,vehicle_count,avg_speed,lane_occupancy,network_latency,day_of_week,is_attack,label
2025-08-12 21:29:00,S003,50_Feet_Road_South,17,38.76,0.131,244.3,1,False,0
2025-09-03 15:14:00,S004,Kumaraswamy_Layout_Bus_Stand,31,37.0,0.238,33.5,2,False,0
2025-07-05 14:03:00,S003,50_Feet_Road_South,16,42.43,0.123,93.5,5,False,0
2025-07-25 20:29:00,S003,50_Feet_Road_South,24,45.0,0.185,214.0,4,False,0
2025-08-05 05:32:00,S004,Kumaraswamy_Layout_Bus_Stand,5,43.65,0.038,188.7,1,False,0
2025-06-27 06:40:00,S001,DSCE_Main_Gate,13,45.0,0.1,423.2,4,False,0
2025-08-16 06:53:00,S003,50_Feet_Road_South,10,45.0,0.077,458.3,5,False,0
2025-08-27 20:57:00,S002,50_Feet_Road_North,25,45.0,0.192,364.8,2,False,0
2025-09-03 08:08:00,S003,50_Feet_Road_South,80,21.47,0.615,405.2,2,False,0
2025-06-27 12:46:00,S004,Kumaraswamy_Layout_Bus_Stand,33,37.11,0.254,423.2,4,False,0
2025-06-13 03:59:00,S002,50_Feet_Road_North,1,37.8,0.008,366.1,4,False,0
2025-07-02 15:58:00,S002,50_Feet_Road_North,35,37.89,0.269,281.0,2,False,0
2025-08-11 04:13:00,S001,DSCE_Main_Gate,1,45.0,0.008,16.5,0,False,0
2025-08-19 22:02:00,S002,50_Feet_Road_North,13,31.77,0.1,148.9,1,False,0
2025-08-07 07:32:00,S002,50_Feet_Road_North,33,38.07,0.254,155.4,3,False,0
2025-06-14 08:21:00,S003,50_Feet_Road_South,45,27.79,0.346,74.7,5,False,0
2025-08-06 11:23:00,S002,50_Feet_Road_North,28,39.36,0.215,434.9,2,False,0
2025-07-24 20:07:00,S001,DSCE_Main_Gate,24,42.04,0.185,244.7,3,False,0
2025-07-07 06:52:00,S001,DSCE_Main_Gate,14,42.46,0.108,33.5,0,False,0
2025-07-18 02:29:00,S003,50_Feet_Road_South,0,45.0,0.0,490.8,4,False,0
2025-06-22 13:36:00,S003,50_Feet_Road_South,16,42.83,0.123,183.3,6,False,0
2025-07-24 13:35:00,S002,50_Feet_Road_North,28,35.09,0.215,25.7,3,False,0
2025-06-13 16:59:00,S003,50_Feet_Road_South,75,26.04,0.577,284.3,4,False,0
2025-06-15 17:29:00,S004,Kumaraswamy_Layout_Bus_Stand,37,33.96,0.285,268.3,6,False,0
2025-06-27 18:11:00,S001,DSCE_Main_Gate,44,33.86,0.338,166.8,4,False,0
2025-07-05 18:53:00,S003,50_Feet_Road_South,27,45.0,0.208,464.8,5,False,0
2025-08-04 22:25:00,S002,50_Feet_Road_North,18,38.58,0.138,331.6,0,False,0
2025-06-21 18:51:00,S004,Kumaraswamy_Layout_Bus_Stand,20,33.39,0.154,498.7,5,False,0
2025-08-03 11:41:00,S002,50_Feet_Road_North,14,44.61,0.108,232.7,6,False,0
2025-06-28 21:15:00,S001,DSCE_Main_Gate,12,38.9,0.092,255.4,5,False,0
