timestamp,sensor_id,intersection,vehicle_count,avg_speed,lane_occupancy,network_latency,hour,minute,day_of_week,is_attack,attack_type,label
2025-06-10 01:02:00,S004,Kumaraswamy_Layout_Bus_Stand,1,34.04,0.008,57.0,1,2,1,False,,0
2025-06-10 12:20:00,S004,Kumaraswamy_Layout_Bus_Stand,29,34.36,0.242,1792.5,12,20,1,False,,0
2025-06-10 12:27:00,S002,50_Feet_Road_North,26,32.7,0.217,133.4,12,27,1,False,,0
2025-06-10 08:13:00,S004,Kumaraswamy_Layout_Bus_Stand,71,20.56,0.592,243.8,8,13,1,False,,0
2025-06-10 16:18:00,S004,Kumaraswamy_Layout_Bus_Stand,75,18.58,0.625,118.5,16,18,1,False,,0
2025-06-10 18:21:00,S001,DSCE_Main_Gate,37,28.44,0.308,13.0,18,21,1,False,,0
2025-06-10 12:50:00,S002,50_Feet_Road_North,31,38.11,0.258,228.1,12,50,1,False,,0
2025-06-10 15:27:00,S003,50_Feet_Road_South,32,25.08,0.267,80.3,15,27,1,False,,0
2025-06-10 10:44:00,S003,50_Feet_Road_South,29,30.14,0.242,492.8,10,44,1,False,,0
2025-06-10 19:02:00,S004,Kumaraswamy_Layout_Bus_Stand,33,30.0,0.275,333.8,19,2,1,False,,0
2025-06-10 17:02:00,S002,50_Feet_Road_North,70,20.88,0.583,359.1,17,2,1,False,,0
2025-06-10 15:24:00,S002,50_Feet_Road_North,36,32.32,0.3,242.2,15,24,1,False,,0
2025-06-10 05:02:00,S004,Kumaraswamy_Layout_Bus_Stand,5,35.32,0.042,422.9,5,2,1,False,,0
2025-06-10 00:59:00,S002,50_Feet_Road_North,2,31.22,0.017,397.2,0,59,1,False,,0
2025-06-10 02:12:00,S001,DSCE_Main_Gate,0,40.0,0.0,94.4,2,12,1,False,,0
2025-06-10 04:38:00,S002,50_Feet_Road_North,2,40.0,0.017,377.2,4,38,1,False,,0
2025-06-10 06:35:00,S002,50_Feet_Road_North,17,36.55,0.142,318.3,6,35,1,False,,0
2025-06-10 08:50:00,S001,DSCE_Main_Gate,78,18.65,0.65,295.3,8,50,1,False,,0
2025-06-10 19:16:00,S002,50_Feet_Road_North,29,36.62,0.242,215.0,19,16,1,False,,0
2025-06-10 02:37:00,S001,DSCE_Main_Gate,0,40.0,0.0,75.9,2,37,1,False,,0
2025-06-10 21:49:00,S004,Kumaraswamy_Layout_Bus_Stand,22,36.09,0.183,209.9,21,49,1,False,,0
2025-06-10 06:44:00,S002,50_Feet_Road_North,12,31.34,0.1,1335.6,6,44,1,False,,0
2025-06-10 02:57:00,S001,DSCE_Main_Gate,0,40.0,0.0,474.2,2,57,1,False,,0
2025-06-10 03:06:00,S004,Kumaraswamy_Layout_Bus_Stand,1,38.05,0.008,225.7,3,6,1,False,,0
2025-06-10 00:38:00,S004,Kumaraswamy_Layout_Bus_Stand,2,39.16,0.017,52.4,0,38,1,False,,0
2025-06-10 19:31:00,S002,50_Feet_Road_North,27,28.23,0.225,464.3,19,31,1,False,,0
2025-06-10 07:11:00,S002,50_Feet_Road_North,38,30.9,0.317,299.0,7,11,1,False,,0
2025-06-10 12:06:00,S004,Kumaraswamy_Layout_Bus_Stand,29,27.74,0.242,372.0,12,6,1,False,,0
2025-06-10 00:29:00,S003,50_Feet_Road_South,1,40.0,0.008,151.2,0,29,1,False,,0
2025-06-10 01:41:00,S001,DSCE_Main_Gate,0,40.0,0.0,493.5,1,41,1,False,,0
2025-06-10 15:44:00,S002,50_Feet_Road_North,24,31.24,0.2,44.9,15,44,1,False,,0
2025-06-10 21:50:00,S002,50_Feet_Road_North,20,32.47,0.167,105.1,21,50,1,False,,0
2025-06-10 13:19:00,S003,50_Feet_Road_South,34,31.68,0.283,156.4,13,19,1,False,,0
2025-06-10 06:13:00,S001,DSCE_Main_Gate,14,33.2,0.117,350.5,6,13,1,False,,0
2025-06-10 22:11:00,S002,50_Feet_Road_North,11,36.04,0.092,129.8,22,11,1,False,,0
2025-06-10 22:57:00,S003,50_Feet_Road_South,14,28.55,0.117,183.5,22,57,1,False,,0
2025-06-10 10:26:00,S001,DSCE_Main_Gate,29,31.54,0.242,1357.0,10,26,1,False,,0
